Total 566650
  34508 the
  22134 and
  16665 to
  14974 of
  10499 a
   9711 he
   8767 in
   7959 his
   7719 that
   7308 was
   5686 with
   5352 had
   4911 it
   4627 her
   4622 not
   4527 at
   4373 him
   4056 i
   4009 but
   3942 as
   3918 on
   3461 for
   3451 you
   3358 she
   3261 is
   2763 said
   2734 all
   2684 from
   2412 be
   2405 were
   2392 by
   2249 what
   2151 they
   2076 who
   2029 this
   2007 one
   1989 which
   1972 have
   1856 prince
   1797 so
   1753 pierre
   1620 an
   1581 or
   1527 up
   1483 when
   1476 did
   1472 been
   1443 them
   1434 their
   1396 there
   1360 would
   1357 no
   1296 if
   1288 only
   1255 are
   1245 now
   1221 my
   1203 out
   1109 could
   1062 me
   1060 natásha
   1051 will
   1040 more
   1032 man
   1015 andrew
   1004 into
   1001 do
    984 how
    979 about
    975 himself
    945 we
    901 then
    891 time
    885 face
    859 princess
    857 went
    847 french
    838 some
    831 after
    816 eyes
    814 your
    806 know
    804 before
    801 old
    800 very
    758 room
    752 thought
    748 men
    731 chapter
    721 like
    708 began
    704 see
    703 rostóv
    702 go
    699 has
    681 again
    680 came
    674 down
    667 without
    665 moscow
    664 asked
    659 still
    650 those
    646 looked
    646 come
    645 same
    641 well
    626 felt
    623 our
    616 count
    616 army
    613 first
    606 where
    596 left
    595 mary
    591 another
    589 such
    589 something
    587 these
    585 over
    580 say
    578 seemed
    576 other
    574 two
    574 away
    573 its
    570 nicholas
    563 life
    563 just
    560 head
    552 little
    536 day
    533 than
    532 am
    530 whole
    527 hand
    520 should
    515 don't
    510 people
    504 yes
    503 why
    503 even
    502 long
    497 emperor
    497 back
    495 own
    494 any
    491 heard
    488 because
    485 having
    480 must
    471 can
    470 general
    467 way
    466 napoleon
    461 saw
    461 look
    461 always
    458 being
    457 made
    450 russian
    442 nothing
    439 young
    435 though
    434 countess
    429 kutúzov
    428 suddenly
    426 love
    418 round
    410 off
    408 right
    407 voice
    407 knew
    406 smile
    406 never
    405 told
    402 officer
    402 moment
    396 while
    395 took
    394 here
    392 whom
    390 looking
    387 us
    387 sónya
    386 everything
    385 much
    384 turned
    377 through
    375 let
    374 quite
    373 tell
    373 it's
    371 under
    370 too
    368 house
    367 words
    359 good
    355 get
    354 denisov
    346 take
    346 evidently
    345 dear
    344 sat
    342 once
    342 last
    336 think
    335 battle
    333 yet
    333 every
    330 understand
    328 soldiers
    324 most
    324 door
    319 herself
    319 already
    316 feeling
    313 might
    310 behind
    308 father
    307 stood
    304 going
    303 gave
    300 place
    294 side
    294 expression
    293 anna
    292 toward
    289 order
    287 others
    287 oh
    287 may
    285 new
    284 replied
    283 seen
    283 position
    281 war
    281 dólokhov
    280 done
    279 give
    279 anything
    275 horse
    272 make
    269 that's
    268 put
    267 also
    264 borís
